sym,sym href,slw,sl,svelte-eurwtr
ACVA,https://stockanalysis.com/stocks/acva/,ACV Auctions Inc.,Auto & Truck Dealerships,3.11B
ACXP,https://stockanalysis.com/stocks/acxp/,"Acurx Pharmaceuticals, Inc.",Biotechnology,37.85M
ADAG,https://stockanalysis.com/stocks/adag/,Adagene Inc.,Biotechnology,111.56M
ADAP,https://stockanalysis.com/stocks/adap/,Adaptimmune Therapeutics plc,Biotechnology,304.34M
ADBE,https://stockanalysis.com/stocks/adbe/,Adobe Inc.,Software - Infrastructure,250.87B
ADC,https://stockanalysis.com/stocks/adc/,Agree Realty Corporation,REIT - Retail,7.30B
ADCT,https://stockanalysis.com/stocks/adct/,ADC Therapeutics SA,Biotechnology,284.14M
ADD,https://stockanalysis.com/stocks/add/,"Color Star Technology Co., Ltd.",Entertainment,43.53M
ADEA,https://stockanalysis.com/stocks/adea/,Adeia Inc.,Software - Application,1.30B
ADGM,https://stockanalysis.com/stocks/adgm/,"Adagio Medical Holdings, Inc.",Shell Companies,71.89M
ADI,https://stockanalysis.com/stocks/adi/,"Analog Devices, Inc.",Semiconductors,112.89B
ADIL,https://stockanalysis.com/stocks/adil/,"Adial Pharmaceuticals, Inc.",Biotechnology,6.28M
ADM,https://stockanalysis.com/stocks/adm/,Archer-Daniels-Midland Company,Farm Products,28.32B
ADMA,https://stockanalysis.com/stocks/adma/,"ADMA Biologics, Inc.",Biotechnology,4.16B
ADN,https://stockanalysis.com/stocks/adn/,"Advent Technologies Holdings, Inc.",Utilities - Renewable,8.49M
ADNT,https://stockanalysis.com/stocks/adnt/,Adient plc,Auto Parts,1.89B
ADP,https://stockanalysis.com/stocks/adp/,"Automatic Data Processing, Inc.",Software - Application,109.23B
ADPT,https://stockanalysis.com/stocks/adpt/,Adaptive Biotechnologies Corporation,Biotechnology,679.85M
ADRT,https://stockanalysis.com/stocks/adrt/,Ault Disruptive Technologies Corporation,Shell Companies,36.83M
ADSE,https://stockanalysis.com/stocks/adse/,ADS-TEC Energy PLC,Electrical Equipment & Parts,657.60M
ADSK,https://stockanalysis.com/stocks/adsk/,"Autodesk, Inc.",Software - Application,54.32B
ADT,https://stockanalysis.com/stocks/adt/,ADT Inc.,Security & Protection Services,6.69B
ADTN,https://stockanalysis.com/stocks/adtn/,"ADTRAN Holdings, Inc.",Communication Equipment,429.58M
ADTX,https://stockanalysis.com/stocks/adtx/,"Aditxt, Inc.",Biotechnology,3.24M
ADUS,https://stockanalysis.com/stocks/adus/,Addus HomeCare Corporation,Medical Care Facilities,2.37B
ADV,https://stockanalysis.com/stocks/adv/,Advantage Solutions Inc.,Advertising Agencies,1.20B
ADVM,https://stockanalysis.com/stocks/advm/,"Adverum Biotechnologies, Inc.",Biotechnology,149.56M
ADXN,https://stockanalysis.com/stocks/adxn/,Addex Therapeutics Ltd,Biotechnology,6.46M
AE,https://stockanalysis.com/stocks/ae/,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,58.00M
AEAE,https://stockanalysis.com/stocks/aeae/,AltEnergy Acquisition Corp.,Shell Companies,77.86M
AEE,https://stockanalysis.com/stocks/aee/,Ameren Corporation,Utilities - Regulated Electric,21.97B
AEG,https://stockanalysis.com/stocks/aeg/,Aegon Ltd.,Insurance - Diversified,10.52B
AEHL,https://stockanalysis.com/stocks/aehl/,Antelope Enterprise Holdings Limited,Building Products & Equipment,38.85M
AEHR,https://stockanalysis.com/stocks/aehr/,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,427.73M
AEI,https://stockanalysis.com/stocks/aei/,Alset Inc.,Real Estate - Development,10.18M
AEIS,https://stockanalysis.com/stocks/aeis/,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,4.09B
AEM,https://stockanalysis.com/stocks/aem/,Agnico Eagle Mines Limited,Gold,41.28B
AEMD,https://stockanalysis.com/stocks/aemd/,"Aethlon Medical, Inc.",Medical Devices,7.87M
AENT,https://stockanalysis.com/stocks/aent/,Alliance Entertainment Holding Corporation,Entertainment,73.35M
AEO,https://stockanalysis.com/stocks/aeo/,"American Eagle Outfitters, Inc.",Apparel Retail,4.28B
AEON,https://stockanalysis.com/stocks/aeon/,"AEON Biopharma, Inc.",Biotechnology,38.73M
AEP,https://stockanalysis.com/stocks/aep/,"American Electric Power Company, Inc.",Utilities - Regulated Electric,52.15B
AER,https://stockanalysis.com/stocks/aer/,AerCap Holdings N.V.,Rental & Leasing Services,17.98B
AERT,https://stockanalysis.com/stocks/aert/,"Aeries Technology, Inc",Consulting Services,103.64M
AES,https://stockanalysis.com/stocks/aes/,The AES Corporation,Utilities - Diversified,12.56B
AESI,https://stockanalysis.com/stocks/aesi/,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,2.22B
AEVA,https://stockanalysis.com/stocks/aeva/,"Aeva Technologies, Inc.",Software - Infrastructure,160.41M
AEYE,https://stockanalysis.com/stocks/aeye/,"AudioEye, Inc.",Software - Application,270.61M
AFAR,https://stockanalysis.com/stocks/afar/,Aura FAT Projects Acquisition Corp,Shell Companies,67.53M
AFBI,https://stockanalysis.com/stocks/afbi/,"Affinity Bancshares, Inc.",Banks - Regional,136.14M
AFCG,https://stockanalysis.com/stocks/afcg/,"AFC Gamma, Inc.",REIT - Specialty,209.36M
AFG,https://stockanalysis.com/stocks/afg/,"American Financial Group, Inc.",Insurance - Property & Casualty,10.91B
AFJK,https://stockanalysis.com/stocks/afjk/,"Aimei Health Technology Co., Ltd",Shell Companies,94.15M
AFL,https://stockanalysis.com/stocks/afl/,Aflac Incorporated,Insurance - Life,58.99B
AFMD,https://stockanalysis.com/stocks/afmd/,Affimed N.V.,Biotechnology,64.87M
AFRI,https://stockanalysis.com/stocks/afri/,Forafric Global PLC,Farm Products,301.58M
AFRM,https://stockanalysis.com/stocks/afrm/,"Affirm Holdings, Inc.",Software - Infrastructure,9.20B
AFYA,https://stockanalysis.com/stocks/afya/,Afya Limited,Education & Training Services,1.67B
AG,https://stockanalysis.com/stocks/ag/,First Majestic Silver Corp.,Silver,1.74B
AGAE,https://stockanalysis.com/stocks/agae/,Allied Gaming & Entertainment Inc.,Entertainment,55.53M
AGBA,https://stockanalysis.com/stocks/agba/,AGBA Group Holding Limited,Asset Management,170.98M
AGCO,https://stockanalysis.com/stocks/agco/,AGCO Corporation,Farm & Heavy Construction Machinery,6.68B
AGEN,https://stockanalysis.com/stocks/agen/,Agenus Inc.,Biotechnology,111.96M
AGFY,https://stockanalysis.com/stocks/agfy/,Agrify Corporation,Farm & Heavy Construction Machinery,3.49M
AGI,https://stockanalysis.com/stocks/agi/,Alamos Gold Inc.,Gold,8.34B
AGIO,https://stockanalysis.com/stocks/agio/,"Agios Pharmaceuticals, Inc.",Biotechnology,2.68B
AGL,https://stockanalysis.com/stocks/agl/,"agilon health, inc.",Medical Care Facilities,1.89B
AGM,https://stockanalysis.com/stocks/agm/,Federal Agricultural Mortgage Corporation,Credit Services,2.06B
AGM.A,https://stockanalysis.com/stocks/agm.a/,Federal Agricultural Mortgage Corporation,Credit Services,2.01B
AGMH,https://stockanalysis.com/stocks/agmh/,AGM Group Holdings Inc.,Computer Hardware,25.71M
AGNC,https://stockanalysis.com/stocks/agnc/,AGNC Investment Corp.,REIT - Mortgage,7.94B
AGO,https://stockanalysis.com/stocks/ago/,Assured Guaranty Ltd.,Insurance - Specialty,4.06B
AGR,https://stockanalysis.com/stocks/agr/,"Avangrid, Inc.",Utilities - Regulated Electric,13.92B
AGRI,https://stockanalysis.com/stocks/agri/,AgriFORCE Growing Systems Ltd.,Farm Products,6.00M
AGRO,https://stockanalysis.com/stocks/agro/,Adecoagro S.A.,Farm Products,1.10B
AGS,https://stockanalysis.com/stocks/ags/,"PlayAGS, Inc.",Gambling,455.09M
AGX,https://stockanalysis.com/stocks/agx/,"Argan, Inc.",Engineering & Construction,982.21M
AGYS,https://stockanalysis.com/stocks/agys/,"Agilysys, Inc.",Software - Application,3.00B
AHCO,https://stockanalysis.com/stocks/ahco/,AdaptHealth Corp.,Medical Devices,1.32B
AHG,https://stockanalysis.com/stocks/ahg/,Akso Health Group,Medical Distribution,174.81M
AHH,https://stockanalysis.com/stocks/ahh/,"Armada Hoffler Properties, Inc.",REIT - Diversified,807.01M
AHR,https://stockanalysis.com/stocks/ahr/,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,2.60B
AHT,https://stockanalysis.com/stocks/aht/,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,47.18M
AI,https://stockanalysis.com/stocks/ai/,"C3.ai, Inc.",Software - Application,3.10B
AIEV,https://stockanalysis.com/stocks/aiev/,"Thunder Power Holdings, Inc.",Shell Companies,34.92M
AIFF,https://stockanalysis.com/stocks/aiff/,"Firefly Neuroscience, Inc.",Information Technology Services,43.76M
AIG,https://stockanalysis.com/stocks/aig/,"American International Group, Inc.",Insurance - Diversified,47.88B
AIHS,https://stockanalysis.com/stocks/aihs/,Senmiao Technology Limited,Credit Services,9.57M
AILE,https://stockanalysis.com/stocks/aile/,"iLearningEngines, Inc.",Software - Infrastructure,563.28M
AIM,https://stockanalysis.com/stocks/aim/,AIM ImmunoTech Inc.,Biotechnology,22.51M
AIMAU,https://stockanalysis.com/stocks/aimau/,Aimfinity Investment Corp. I,Shell Companies,65.16M
AIMD,https://stockanalysis.com/stocks/aimd/,"Ainos, Inc.",Medical Devices,5.07M
AIN,https://stockanalysis.com/stocks/ain/,Albany International Corp.,Textile Manufacturing,2.79B
AIOT,https://stockanalysis.com/stocks/aiot/,"PowerFleet, Inc.",Software - Infrastructure,520.23M
AIP,https://stockanalysis.com/stocks/aip/,"Arteris, Inc.",Semiconductors,316.81M
AIR,https://stockanalysis.com/stocks/air/,AAR Corp.,Aerospace & Defense,2.23B
AIRE,https://stockanalysis.com/stocks/aire/,reAlpha Tech Corp.,Real Estate Services,54.96M
AIRG,https://stockanalysis.com/stocks/airg/,"Airgain, Inc.",Communication Equipment,84.20M
AIRI,https://stockanalysis.com/stocks/airi/,Air Industries Group,Aerospace & Defense,12.51M
AIRJ,https://stockanalysis.com/stocks/airj/,Montana Technologies Corporation,Building Products & Equipment,413.40M
AIRS,https://stockanalysis.com/stocks/airs/,"AirSculpt Technologies, Inc.",Medical Care Facilities,246.49M
AIRT,https://stockanalysis.com/stocks/airt/,"Air T, Inc.",Conglomerates,61.05M
AISP,https://stockanalysis.com/stocks/aisp/,"Airship AI Holdings, Inc.",Software - Infrastructure,90.79M
AIT,https://stockanalysis.com/stocks/ait/,"Applied Industrial Technologies, Inc.",Industrial Distribution,7.84B
AITR,https://stockanalysis.com/stocks/aitr/,AI Transportation Acquisition Corp,Shell Companies,81.67M
AIU,https://stockanalysis.com/stocks/aiu/,Meta Data Limited,Education & Training Services,18.78M
AIV,https://stockanalysis.com/stocks/aiv/,Apartment Investment and Management Company,REIT - Residential,1.24B
AIXI,https://stockanalysis.com/stocks/aixi/,Xiao-I Corporation,Software - Application,33.54M
AIZ,https://stockanalysis.com/stocks/aiz/,"Assurant, Inc.",Insurance - Specialty,9.83B
AJG,https://stockanalysis.com/stocks/ajg/,Arthur J. Gallagher & Co.,Insurance Brokers,63.43B
AJX,https://stockanalysis.com/stocks/ajx/,Great Ajax Corp.,REIT - Mortgage,153.70M
AKA,https://stockanalysis.com/stocks/aka/,a.k.a. Brands Holding Corp.,Apparel Retail,253.92M
AKAM,https://stockanalysis.com/stocks/akam/,"Akamai Technologies, Inc.",Software - Infrastructure,15.47B
AKAN,https://stockanalysis.com/stocks/akan/,Akanda Corp.,Drug Manufacturers - Specialty & Generic,2.74M
AKBA,https://stockanalysis.com/stocks/akba/,"Akebia Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,313.33M
AKO.A,https://stockanalysis.com/stocks/ako.a/,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.66B
AKO.B,https://stockanalysis.com/stocks/ako.b/,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.68B
AKR,https://stockanalysis.com/stocks/akr/,Acadia Realty Trust,REIT - Retail,2.29B
AKRO,https://stockanalysis.com/stocks/akro/,"Akero Therapeutics, Inc.",Biotechnology,1.83B
AKTS,https://stockanalysis.com/stocks/akts/,"Akoustis Technologies, Inc.",Communication Equipment,11.07M
AKTX,https://stockanalysis.com/stocks/aktx/,"Akari Therapeutics, Plc",Biotechnology,42.15M
AKYA,https://stockanalysis.com/stocks/akya/,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,119.29M
AL,https://stockanalysis.com/stocks/al/,Air Lease Corporation,Rental & Leasing Services,5.06B
ALAB,https://stockanalysis.com/stocks/alab/,"Astera Labs, Inc.",Semiconductors,6.37B
ALAR,https://stockanalysis.com/stocks/alar/,Alarum Technologies Ltd.,Software - Infrastructure,146.28M
ALB,https://stockanalysis.com/stocks/alb/,Albemarle Corporation,Specialty Chemicals,10.41B
ALBT,https://stockanalysis.com/stocks/albt/,Avalon GloboCare Corp.,Real Estate Services,3.71M
ALC,https://stockanalysis.com/stocks/alc/,Alcon Inc.,Medical Instruments & Supplies,46.86B
ALCE,https://stockanalysis.com/stocks/alce/,Alternus Clean Energy Inc,Utilities - Renewable,16.36M
ALCO,https://stockanalysis.com/stocks/alco/,"Alico, Inc.",Farm Products,222.76M
ALCY,https://stockanalysis.com/stocks/alcy/,Alchemy Investments Acquisition Corp 1,Shell Companies,162.43M
ALDX,https://stockanalysis.com/stocks/aldx/,"Aldeyra Therapeutics, Inc.",Biotechnology,318.50M
ALE,https://stockanalysis.com/stocks/ale/,"ALLETE, Inc.",Utilities - Diversified,3.66B
ALEC,https://stockanalysis.com/stocks/alec/,"Alector, Inc.",Biotechnology,507.04M
ALEX,https://stockanalysis.com/stocks/alex/,"Alexander & Baldwin, Inc.",REIT - Retail,1.39B
ALF,https://stockanalysis.com/stocks/alf/,Centurion Acquisition Corp.,Shell Companies,359.38M
ALG,https://stockanalysis.com/stocks/alg/,Alamo Group Inc.,Farm & Heavy Construction Machinery,2.17B
ALGM,https://stockanalysis.com/stocks/algm/,"Allegro MicroSystems, Inc.",Semiconductors,5.53B
ALGN,https://stockanalysis.com/stocks/algn/,"Align Technology, Inc.",Medical Instruments & Supplies,17.56B
ALGS,https://stockanalysis.com/stocks/algs/,"Aligos Therapeutics, Inc.",Biotechnology,84.77M
ALGT,https://stockanalysis.com/stocks/algt/,Allegiant Travel Company,Airlines,727.39M
ALHC,https://stockanalysis.com/stocks/alhc/,"Alignment Healthcare, Inc.",Healthcare Plans,1.69B
ALIM,https://stockanalysis.com/stocks/alim/,"Alimera Sciences, Inc.",Drug Manufacturers - Specialty & Generic,304.01M
ALIT,https://stockanalysis.com/stocks/alit/,"Alight, Inc.",Software - Application,3.76B
ALK,https://stockanalysis.com/stocks/alk/,"Alaska Air Group, Inc.",Airlines,4.41B
ALKS,https://stockanalysis.com/stocks/alks/,Alkermes plc,Drug Manufacturers - Specialty & Generic,4.65B
ALKT,https://stockanalysis.com/stocks/alkt/,"Alkami Technology, Inc.",Software - Application,3.14B
ALL,https://stockanalysis.com/stocks/all/,The Allstate Corporation,Insurance - Property & Casualty,47.20B
ALLE,https://stockanalysis.com/stocks/alle/,Allegion plc,Security & Protection Services,11.72B
ALLG,https://stockanalysis.com/stocks/allg/,Allego N.V.,Specialty Retail,556.98M
ALLK,https://stockanalysis.com/stocks/allk/,Allakos Inc.,Biotechnology,66.41M
ALLO,https://stockanalysis.com/stocks/allo/,"Allogene Therapeutics, Inc.",Biotechnology,572.97M
ALLR,https://stockanalysis.com/stocks/allr/,"Allarity Therapeutics, Inc.",Biotechnology,7.10M
ALLT,https://stockanalysis.com/stocks/allt/,Allot Ltd.,Software - Infrastructure,128.01M
ALLY,https://stockanalysis.com/stocks/ally/,Ally Financial Inc.,Credit Services,12.73B
ALMS,https://stockanalysis.com/stocks/alms/,Alumis Inc.,Biotechnology,706.70M
ALNT,https://stockanalysis.com/stocks/alnt/,Allient Inc.,Electronic Components,354.06M
ALNY,https://stockanalysis.com/stocks/alny/,"Alnylam Pharmaceuticals, Inc.",Biotechnology,35.84B
ALOT,https://stockanalysis.com/stocks/alot/,"AstroNova, Inc.",Computer Hardware,111.95M
ALPP,https://stockanalysis.com/stocks/alpp/,"Alpine 4 Holdings, Inc.",Conglomerates,11.36M
ALRM,https://stockanalysis.com/stocks/alrm/,"Alarm.com Holdings, Inc.",Software - Application,2.94B
ALRN,https://stockanalysis.com/stocks/alrn/,"Aileron Therapeutics, Inc.",Biotechnology,55.46M
ALRS,https://stockanalysis.com/stocks/alrs/,Alerus Financial Corporation,Banks - Regional,425.02M
ALSA,https://stockanalysis.com/stocks/alsa/,Alpha Star Acquisition Corporation,Shell Companies,51.76M
ALSN,https://stockanalysis.com/stocks/alsn/,"Allison Transmission Holdings, Inc.",Auto Parts,7.62B
ALT,https://stockanalysis.com/stocks/alt/,"Altimmune, Inc.",Biotechnology,488.26M
ALTG,https://stockanalysis.com/stocks/altg/,Alta Equipment Group Inc.,Rental & Leasing Services,208.48M
ALTI,https://stockanalysis.com/stocks/alti/,"AlTi Global, Inc.",Asset Management,378.41M
ALTM,https://stockanalysis.com/stocks/altm/,Arcadium Lithium plc,Specialty Chemicals,3.10B
ALTO,https://stockanalysis.com/stocks/alto/,"Alto Ingredients, Inc.",Specialty Chemicals,110.14M
ALTR,https://stockanalysis.com/stocks/altr/,Altair Engineering Inc.,Software - Infrastructure,7.63B
ALTS,https://stockanalysis.com/stocks/alts/,ALT5 Sigma Corporation,Software - Application,32.10M
ALUR,https://stockanalysis.com/stocks/alur/,Allurion Technologies Inc.,Medical Devices,43.27M
ALV,https://stockanalysis.com/stocks/alv/,"Autoliv, Inc.",Auto Parts,8.15B
ALVO,https://stockanalysis.com/stocks/alvo/,Alvotech,Drug Manufacturers - Specialty & Generic,3.74B
ALVR,https://stockanalysis.com/stocks/alvr/,"AlloVir, Inc.",Biotechnology,87.79M
ALX,https://stockanalysis.com/stocks/alx/,"Alexander's, Inc.",REIT - Retail,1.16B
ALXO,https://stockanalysis.com/stocks/alxo/,ALX Oncology Holdings Inc.,Biotechnology,131.68M
ALZN,https://stockanalysis.com/stocks/alzn/,"Alzamend Neuro, Inc.",Biotechnology,3.66M
AM,https://stockanalysis.com/stocks/am/,Antero Midstream Corporation,Oil & Gas Midstream,7.03B
AMAL,https://stockanalysis.com/stocks/amal/,Amalgamated Financial Corp.,Banks - Regional,934.02M
AMAT,https://stockanalysis.com/stocks/amat/,"Applied Materials, Inc.",Semiconductor Equipment & Materials,173.15B
AMBA,https://stockanalysis.com/stocks/amba/,"Ambarella, Inc.",Semiconductor Equipment & Materials,2.04B
AMBC,https://stockanalysis.com/stocks/ambc/,"Ambac Financial Group, Inc.",Insurance - Specialty,540.83M
AMBI,https://stockanalysis.com/stocks/ambi/,Ambipar Emergency Response,Waste Management,315.40M
AMBO,https://stockanalysis.com/stocks/ambo/,Ambow Education Holding Ltd.,Education & Training Services,4.03M
AMBP,https://stockanalysis.com/stocks/ambp/,Ardagh Metal Packaging S.A.,Packaging & Containers,2.08B
AMC,https://stockanalysis.com/stocks/amc/,"AMC Entertainment Holdings, Inc.",Entertainment,1.81B
AMCR,https://stockanalysis.com/stocks/amcr/,Amcor plc,Packaging & Containers,15.79B
AMCX,https://stockanalysis.com/stocks/amcx/,AMC Networks Inc.,Entertainment,453.77M
AMD,https://stockanalysis.com/stocks/amd/,"Advanced Micro Devices, Inc.",Semiconductors,255.41B
AME,https://stockanalysis.com/stocks/ame/,"AMETEK, Inc.",Specialty Industrial Machinery,38.41B
AMED,https://stockanalysis.com/stocks/amed/,"Amedisys, Inc.",Medical Care Facilities,3.20B
AMG,https://stockanalysis.com/stocks/amg/,"Affiliated Managers Group, Inc.",Asset Management,5.14B
AMGN,https://stockanalysis.com/stocks/amgn/,Amgen Inc.,Drug Manufacturers - General,176.86B
AMH,https://stockanalysis.com/stocks/amh/,American Homes 4 Rent,REIT - Residential,14.15B
AMIX,https://stockanalysis.com/stocks/amix/,"Autonomix Medical, Inc.",Medical Devices,14.28M
